Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 0-4,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx
60641,71003,0.227835444,0.147641649,0.171542048,0.14562765,0.128093179,0.101530921,0.051068265,0.026660845,0.062419898,0.089587764,0.075292593,0.937580102,0.772164556,0.113093813,0.514119122,0.485880878,0.542962973,0.049110601,0.023858147,0.354097714,0.029970565
60642,21374,0.088144475,0.32796856,0.312576027,0.126181342,0.058856555,0.058856555,0.01866754,0.008748947,0.046598671,0.023533265,0.018012539,0.953401329,0.911855525,0.054037616,0.499298213,0.500701787,0.159352484,0.074061944,0.094554131,0.633713858,0.038317582
60643,49796,0.229737328,0.121194473,0.11492891,0.121274801,0.153907944,0.134107157,0.065688007,0.059161378,0.05626958,0.082657242,0.090187967,0.94373042,0.770262672,0.180456262,0.541469194,0.458530806,0.036488875,0.005863925,0.713470962,0.21200498,0.032171259
60644,47630,0.257799706,0.159353349,0.125929036,0.131051858,0.11352089,0.11960949,0.06321646,0.029519211,0.070480789,0.105668696,0.08160823,0.929519211,0.742200294,0.142725173,0.53747638,0.46252362,0.091014067,0.006361537,0.84534957,0.038022255,0.019252572
60645,48585,0.268745498,0.148111557,0.13148091,0.139590409,0.113965216,0.112318617,0.054811156,0.030976639,0.086672841,0.101224658,0.080642174,0.913327159,0.731254502,0.138808274,0.494761758,0.505238242,0.206853967,0.148523207,0.149490584,0.443284964,0.051847278
60646,29326,0.238764237,0.111027757,0.129918843,0.143933711,0.126542999,0.112118939,0.077746709,0.059946805,0.06867626,0.09097729,0.079110687,0.93132374,0.761235763,0.182807065,0.540714724,0.459285276,0.140250972,0.111130055,0.006751688,0.712507672,0.029359613
60647,85564,0.170866252,0.243279884,0.262890935,0.123369641,0.089874246,0.063157403,0.029475013,0.017086625,0.064139124,0.061322519,0.04511243,0.935860876,0.829133748,0.073851152,0.500257117,0.499742883,0.374316301,0.042027021,0.057979992,0.491690431,0.033986256
60649,48973,0.215057276,0.160476181,0.163212382,0.113164397,0.117513732,0.136646724,0.06107447,0.032854838,0.068915525,0.084883507,0.061258244,0.931084475,0.784942724,0.150286893,0.541441202,0.458558798,0.028770955,0.006003308,0.924141874,0.028464664,0.012619198
60651,64638,0.252281939,0.180358303,0.145131347,0.130310344,0.110399455,0.101364522,0.052275751,0.027878338,0.059191188,0.097821715,0.095176212,0.940808812,0.747718061,0.125669111,0.530601194,0.469398806,0.394798725,0.002490795,0.530461957,0.055431789,0.016816733
60652,43485,0.254317581,0.159848224,0.12864206,0.153248247,0.126549385,0.10484075,0.0470967,0.025457054,0.052477866,0.099850523,0.101966195,0.947522134,0.745682419,0.121076233,0.510796826,0.489203174,0.472070829,0.008232724,0.421754628,0.083132115,0.014809704
